date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,14.23,17.9,1.15,2664790.0,46907000000.0,0.0,0.0,16.8,17.9,16.8
2021-01-04,14.43,18.15,0.25,761800.0,13818000000.0,0.0,0.0,18.3,18.4,17.9
2021-01-05,14.95,18.8,0.65,1077100.0,19823000000.0,0.0,0.0,18.3,19.0,17.9
2021-01-06,14.51,18.25,-0.55,1008200.0,18649000000.0,0.0,0.0,18.8,18.95,18.2
2021-01-07,15.18,19.1,0.85,1102200.0,20469000000.0,0.0,0.0,18.3,19.1,18.1
2021-01-08,14.87,18.7,-0.4,783200.0,15000000000.0,0.0,0.0,19.2,19.6,18.4
2021-01-11,14.95,18.8,0.1,546900.0,10169000000.0,0.0,0.0,18.7,19.0,18.35
2021-01-12,15.3,19.25,0.45,822400.0,15613000000.0,0.0,0.0,18.8,19.3,18.5
2021-01-13,15.26,19.2,-0.05,1093600.0,21505000000.0,0.0,0.0,19.4,20.0,18.9
2021-01-14,15.26,19.2,0.0,560900.0,10767000000.0,0.0,0.0,19.3,19.6,19.0
2021-01-15,15.03,18.9,-0.3,786300.0,14930000000.0,0.0,0.0,19.25,19.3,18.7
2021-01-18,14.71,18.5,-0.4,858400.0,15998000000.0,0.0,0.0,18.6,18.9,18.45
2021-01-19,13.71,17.25,-1.25,863900.0,15456000000.0,0.0,0.0,18.4,18.7,17.25
2021-01-20,13.12,16.5,-0.75,734600.0,12058000000.0,0.0,0.0,16.95,17.15,16.05
2021-01-21,13.83,17.4,0.9,427200.0,7207000000.0,0.0,0.0,17.0,17.5,16.45
2021-01-22,13.48,16.95,-0.45,518900.0,8882000000.0,0.0,0.0,17.1,17.35,16.9
2021-01-25,13.44,16.9,-0.05,477000.0,7943000000.0,0.0,0.0,16.7,16.95,16.4
2021-01-26,12.88,16.2,-0.7,355600.0,5785000000.0,0.0,0.0,16.7,16.9,15.85
2021-01-27,12.12,15.25,-0.95,608800.0,9439000000.0,0.0,0.0,15.9,16.1,15.1
2021-01-28,11.29,14.2,-1.05,538500.0,7654000000.0,0.0,0.0,14.2,14.5,14.2
2021-01-29,11.77,14.8,0.6,366700.0,5150000000.0,0.0,0.0,13.25,14.9,13.25
2021-02-01,11.25,14.15,-0.65,275900.0,3957000000.0,0.0,0.0,14.8,14.8,14.1
2021-02-02,11.37,14.3,0.15,205900.0,2907000000.0,0.0,0.0,14.05,14.3,13.9
2021-02-03,11.96,15.05,0.75,233200.0,3419000000.0,0.0,0.0,14.35,15.05,14.35
2021-02-04,11.89,14.95,-0.1,370200.0,5498000000.0,0.0,0.0,15.1,15.1,14.7
2021-02-05,11.93,15.0,0.05,182200.0,2717000000.0,0.0,0.0,14.95,15.05,14.8
2021-02-08,11.13,14.0,-1.0,257200.0,3778000000.0,0.0,0.0,15.0,15.1,14.0
2021-02-09,11.53,14.5,0.5,167000.0,2398000000.0,0.0,0.0,14.3,14.6,14.1
2021-02-17,12.2,15.35,0.85,198400.0,2976000000.0,0.0,0.0,14.85,15.4,14.8
2021-02-18,12.24,15.4,0.05,297300.0,4559000000.0,0.0,0.0,15.35,15.5,15.25
2021-02-19,12.44,15.65,0.25,282500.0,4389000000.0,0.0,0.0,15.4,15.8,15.1
2021-02-22,12.4,15.6,-0.05,185700.0,2912000000.0,0.0,0.0,15.65,15.85,15.6
2021-02-23,12.4,15.6,0.0,241400.0,3750000000.0,0.0,0.0,15.6,15.7,15.4
2021-02-24,12.08,15.2,-0.4,290000.0,4489000000.0,0.0,0.0,15.6,15.7,15.15
2021-02-25,12.08,15.2,0.0,189900.0,2883000000.0,0.0,0.0,15.3,15.35,15.0
2021-02-26,12.0,15.1,-0.1,126700.0,1918000000.0,0.0,0.0,14.8,15.25,14.8
2021-03-01,12.44,15.65,0.55,258100.0,3992000000.0,0.0,0.0,15.3,15.65,15.2
2021-03-02,12.88,16.2,0.55,551800.0,8864000000.0,0.0,0.0,15.85,16.5,15.65
2021-03-03,13.32,16.75,0.55,486400.0,8072000000.0,0.0,0.0,16.5,16.75,16.3
2021-03-04,12.8,16.1,-0.65,256200.0,4184000000.0,0.0,0.0,16.7,16.7,15.85
2021-03-05,12.96,16.3,0.2,215300.0,3435000000.0,0.0,0.0,15.85,16.5,15.75
2021-03-08,13.48,16.95,0.65,528600.0,8871000000.0,0.0,0.0,16.3,17.2,16.3
2021-03-09,13.48,16.95,0.0,331300.0,5581000000.0,0.0,0.0,17.0,17.0,16.5
