date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-30,6.6,7.1,-0.31,2681280.0,19388000000.0,0.0,0.0,7.1,7.45,7.08
2020-12-31,6.82,7.34,0.24,2223280.0,16165000000.0,88000.0,667920000.0,7.16,7.4,7.1
2021-01-04,6.97,7.5,0.16,3181600.0,23849000000.0,0.0,0.0,7.39,7.55,7.35
2021-01-05,6.85,7.37,-0.13,2945500.0,21784000000.0,0.0,0.0,7.4,7.46,7.34
2021-01-06,6.84,7.36,-0.01,2502200.0,18523000000.0,0.0,0.0,7.37,7.53,7.34
2021-01-07,7.31,7.87,0.51,8352500.0,64338000000.0,0.0,0.0,7.36,7.87,7.36
2021-01-08,7.39,7.95,0.08,4030600.0,32584000000.0,0.0,0.0,8.27,8.27,7.86
2021-01-11,7.39,7.95,0.0,2631200.0,20910000000.0,0.0,0.0,8.0,8.2,7.82
2021-01-12,7.22,7.77,-0.18,2936500.0,22703000000.0,0.0,0.0,7.88,7.95,7.51
2021-01-13,7.02,7.55,-0.22,4676700.0,35849000000.0,0.0,0.0,7.77,7.8,7.51
2021-01-14,7.18,7.72,0.17,3386000.0,25590000000.0,0.0,0.0,7.55,7.76,7.41
2021-01-15,7.1,7.64,-0.08,3338400.0,25767000000.0,0.0,0.0,7.76,7.8,7.64
2021-01-18,7.21,7.76,0.12,3419900.0,26525000000.0,0.0,0.0,7.66,7.85,7.65
2021-01-19,6.74,7.25,-0.51,2563600.0,19202000000.0,0.0,0.0,7.76,7.76,7.22
2021-01-20,6.6,7.1,-0.15,2158700.0,15003000000.0,0.0,0.0,7.25,7.35,6.75
2021-01-21,6.67,7.18,0.08,1906300.0,13555000000.0,0.0,0.0,7.3,7.33,7.0
2021-01-22,6.82,7.34,0.16,2401500.0,17794000000.0,0.0,0.0,7.2,7.58,7.18
2021-01-25,6.82,7.34,0.0,1987800.0,14633000000.0,0.0,0.0,7.2,7.5,7.2
2021-01-26,6.37,6.85,-0.49,1935000.0,13841000000.0,0.0,0.0,7.34,7.4,6.85
2021-01-27,5.93,6.38,-0.47,3628700.0,23798000000.0,0.0,0.0,6.6,6.85,6.38
2021-01-28,5.52,5.94,-0.44,2030300.0,12083000000.0,0.0,0.0,5.95,6.0,5.94
2021-01-29,5.52,5.94,0.0,1745100.0,10038000000.0,0.0,0.0,5.53,6.1,5.53
2021-02-01,5.14,5.53,-0.41,2269300.0,12746000000.0,0.0,0.0,5.94,6.0,5.53
2021-02-02,4.83,5.2,-0.33,2728700.0,14159000000.0,20000.0,103000000.0,5.31,5.31,5.15
2021-02-03,5.17,5.56,0.36,1491000.0,8149000000.0,0.0,0.0,5.38,5.56,5.3
2021-02-04,5.33,5.74,0.18,2252000.0,13021000000.0,0.0,0.0,5.88,5.88,5.66
2021-02-05,5.31,5.71,-0.03,1538000.0,8884000000.0,0.0,0.0,5.76,5.85,5.71
2021-02-09,5.17,5.56,0.23,1024600.0,5597000000.0,0.0,0.0,5.33,5.6,5.32
2021-02-17,5.52,5.94,0.38,1455100.0,8514000000.0,0.0,0.0,5.65,5.94,5.65
2021-02-18,5.6,6.02,0.08,1832200.0,11103000000.0,0.0,0.0,6.0,6.17,5.9
2021-02-19,5.63,6.06,0.04,1335200.0,8059000000.0,0.0,0.0,5.95,6.14,5.92
2021-02-22,5.72,6.15,0.09,1872500.0,11662000000.0,0.0,0.0,6.17,6.33,6.08
2021-02-23,5.81,6.25,0.1,1717300.0,10678000000.0,0.0,0.0,6.21,6.31,6.14
2021-02-24,5.82,6.26,0.01,2180300.0,13784000000.0,0.0,0.0,6.3,6.45,6.15
2021-02-25,5.76,6.2,-0.06,1321700.0,8210000000.0,0.0,0.0,6.33,6.33,6.15
2021-02-26,5.73,6.16,-0.04,966000.0,5923000000.0,0.0,0.0,6.05,6.19,6.05
2021-03-01,5.81,6.25,0.09,1470000.0,9216000000.0,0.0,0.0,6.32,6.33,6.2
2021-03-02,5.9,6.35,0.1,1427000.0,9022000000.0,0.0,0.0,6.34,6.38,6.26
2021-03-03,6.31,6.79,0.44,3740500.0,25019000000.0,0.0,0.0,6.43,6.79,6.4
2021-03-04,6.51,7.0,0.21,4110100.0,29244000000.0,0.0,0.0,7.09,7.2,6.8
2021-03-05,6.53,7.03,0.03,1852100.0,12890000000.0,0.0,0.0,7.0,7.1,6.8
2021-03-08,6.55,7.05,0.02,2970500.0,21167000000.0,0.0,0.0,7.25,7.25,7.02
